id;insumo;stock
ITEM-0001;Algodón 250g;500
ITEM-0002;Gasas 10x10;499
ITEM-0003;Jeringa 5ml;498
ITEM-0004;Catéter 18G;497
ITEM-0005;Guante Nitrilo Talla M;496
ITEM-0006;Catéter 18G;495
ITEM-0007;Gasas 10x10;494
ITEM-0008;Alcohol 70% 1L;493
ITEM-0009;Alcohol 70% 1L;492
ITEM-0010;Guante Nitrilo Talla M;491
ITEM-0011;Esparadrapo 5cm;490
ITEM-0012;Gasas 10x10;489
ITEM-0013;Gasas 10x10;488
ITEM-0014;Bata descartable;487
ITEM-0015;Esparadrapo 5cm;486
ITEM-0016;Algodón 250g;485
ITEM-0017;Algodón 250g;484
ITEM-0018;Jeringa 5ml;483
ITEM-0019;Termómetro digital;482
ITEM-0020;Alcohol 70% 1L;481
ITEM-0021;Algodón 250g;480
ITEM-0022;Esparadrapo 5cm;479
ITEM-0023;Gasas 10x10;478
ITEM-0024;Algodón 250g;477
ITEM-0025;Gasas 10x10;476
ITEM-0026;Algodón 250g;475
ITEM-0027;Alcohol 70% 1L;474
ITEM-0028;Catéter 18G;473
ITEM-0029;Algodón 250g;472
ITEM-0030;Esparadrapo 5cm;471
ITEM-0031;Algodón 250g;470
ITEM-0032;Termómetro digital;469
ITEM-0033;Alcohol 70% 1L;468
ITEM-0034;Esparadrapo 5cm;467
ITEM-0035;Bata descartable;466
ITEM-0036;Esparadrapo 5cm;465
ITEM-0037;Termómetro digital;464
ITEM-0038;Catéter 18G;463
ITEM-0039;Alcohol 70% 1L;462
ITEM-0040;Bata descartable;461
ITEM-0041;Termómetro digital;460
ITEM-0042;Termómetro digital;459
ITEM-0043;Guante Nitrilo Talla M;458
ITEM-0044;Alcohol 70% 1L;457
ITEM-0045;Esparadrapo 5cm;456
ITEM-0046;Gasas 10x10;455
ITEM-0047;Catéter 18G;454
ITEM-0048;Gasas 10x10;453
ITEM-0049;Esparadrapo 5cm;452
ITEM-0050;Esparadrapo 5cm;451
ITEM-0051;Alcohol 70% 1L;450
ITEM-0052;Esparadrapo 5cm;449
ITEM-0053;Guante Nitrilo Talla M;448
ITEM-0054;Bata descartable;447
ITEM-0055;Esparadrapo 5cm;446
ITEM-0056;Gasas 10x10;445
ITEM-0057;Esparadrapo 5cm;444
ITEM-0058;Guante Nitrilo Talla M;443
ITEM-0059;Algodón 250g;442
ITEM-0060;Algodón 250g;441
ITEM-0061;Termómetro digital;440
ITEM-0062;Catéter 18G;439
ITEM-0063;Jeringa 5ml;438
ITEM-0064;Bata descartable;437
ITEM-0065;Mascarilla quirúrgica;436
ITEM-0066;Termómetro digital;435
ITEM-0067;Catéter 18G;434
ITEM-0068;Algodón 250g;433
ITEM-0069;Gasas 10x10;432
ITEM-0070;Mascarilla quirúrgica;431
ITEM-0071;Catéter 18G;430
ITEM-0072;Catéter 18G;429
ITEM-0073;Termómetro digital;428
ITEM-0074;Mascarilla quirúrgica;427
ITEM-0075;Alcohol 70% 1L;426
ITEM-0076;Jeringa 5ml;425
ITEM-0077;Alcohol 70% 1L;424
ITEM-0078;Mascarilla quirúrgica;423
ITEM-0079;Alcohol 70% 1L;422
ITEM-0080;Guante Nitrilo Talla M;421
ITEM-0081;Algodón 250g;420
ITEM-0082;Guante Nitrilo Talla M;419
ITEM-0083;Esparadrapo 5cm;418
ITEM-0084;Alcohol 70% 1L;417
ITEM-0085;Esparadrapo 5cm;416
ITEM-0086;Gasas 10x10;415
ITEM-0087;Bata descartable;414
ITEM-0088;Gasas 10x10;413
ITEM-0089;Mascarilla quirúrgica;412
ITEM-0090;Catéter 18G;411
ITEM-0091;Algodón 250g;410
ITEM-0092;Alcohol 70% 1L;409
ITEM-0093;Termómetro digital;408
ITEM-0094;Bata descartable;407
ITEM-0095;Jeringa 5ml;406
ITEM-0096;Jeringa 5ml;405
ITEM-0097;Jeringa 5ml;404
ITEM-0098;Alcohol 70% 1L;403
ITEM-0099;Jeringa 5ml;402
ITEM-0100;Guante Nitrilo Talla M;401
ITEM-0101;Bata descartable;400
ITEM-0102;Guante Nitrilo Talla M;399
ITEM-0103;Catéter 18G;398
ITEM-0104;Bata descartable;397
ITEM-0105;Guante Nitrilo Talla M;396
ITEM-0106;Bata descartable;395
ITEM-0107;Catéter 18G;394
ITEM-0108;Esparadrapo 5cm;393
ITEM-0109;Alcohol 70% 1L;392
ITEM-0110;Alcohol 70% 1L;391
ITEM-0111;Jeringa 5ml;390
ITEM-0112;Gasas 10x10;389
ITEM-0113;Jeringa 5ml;388
ITEM-0114;Mascarilla quirúrgica;387
ITEM-0115;Guante Nitrilo Talla M;386
ITEM-0116;Bata descartable;385
ITEM-0117;Gasas 10x10;384
ITEM-0118;Catéter 18G;383
ITEM-0119;Mascarilla quirúrgica;382
ITEM-0120;Catéter 18G;381
ITEM-0121;Alcohol 70% 1L;380
ITEM-0122;Alcohol 70% 1L;379
ITEM-0123;Jeringa 5ml;378
ITEM-0124;Guante Nitrilo Talla M;377
ITEM-0125;Gasas 10x10;376
ITEM-0126;Algodón 250g;375
ITEM-0127;Mascarilla quirúrgica;374
ITEM-0128;Mascarilla quirúrgica;373
ITEM-0129;Jeringa 5ml;372
ITEM-0130;Alcohol 70% 1L;371
ITEM-0131;Jeringa 5ml;370
ITEM-0132;Bata descartable;369
ITEM-0133;Gasas 10x10;368
ITEM-0134;Guante Nitrilo Talla M;367
ITEM-0135;Esparadrapo 5cm;366
ITEM-0136;Termómetro digital;365
ITEM-0137;Termómetro digital;364
ITEM-0138;Jeringa 5ml;363
ITEM-0139;Bata descartable;362
ITEM-0140;Gasas 10x10;361
ITEM-0141;Algodón 250g;360
ITEM-0142;Termómetro digital;359
ITEM-0143;Gasas 10x10;358
ITEM-0144;Guante Nitrilo Talla M;357
ITEM-0145;Catéter 18G;356
ITEM-0146;Bata descartable;355
ITEM-0147;Alcohol 70% 1L;354
ITEM-0148;Gasas 10x10;353
ITEM-0149;Guante Nitrilo Talla M;352
ITEM-0150;Algodón 250g;351
ITEM-0151;Esparadrapo 5cm;350
ITEM-0152;Alcohol 70% 1L;349
ITEM-0153;Esparadrapo 5cm;348
ITEM-0154;Algodón 250g;347
ITEM-0155;Guante Nitrilo Talla M;346
ITEM-0156;Termómetro digital;345
ITEM-0157;Esparadrapo 5cm;344
ITEM-0158;Alcohol 70% 1L;343
ITEM-0159;Jeringa 5ml;342
ITEM-0160;Mascarilla quirúrgica;341
ITEM-0161;Gasas 10x10;340
ITEM-0162;Termómetro digital;339
ITEM-0163;Esparadrapo 5cm;338
ITEM-0164;Catéter 18G;337
ITEM-0165;Gasas 10x10;336
ITEM-0166;Jeringa 5ml;335
ITEM-0167;Algodón 250g;334
ITEM-0168;Mascarilla quirúrgica;333
ITEM-0169;Guante Nitrilo Talla M;332
ITEM-0170;Jeringa 5ml;331
ITEM-0171;Jeringa 5ml;330
ITEM-0172;Algodón 250g;329
ITEM-0173;Bata descartable;328
ITEM-0174;Algodón 250g;327
ITEM-0175;Bata descartable;326
ITEM-0176;Bata descartable;325
ITEM-0177;Termómetro digital;324
ITEM-0178;Termómetro digital;323
ITEM-0179;Alcohol 70% 1L;322
ITEM-0180;Esparadrapo 5cm;321
ITEM-0181;Esparadrapo 5cm;320
ITEM-0182;Guante Nitrilo Talla M;319
ITEM-0183;Esparadrapo 5cm;318
ITEM-0184;Termómetro digital;317
ITEM-0185;Alcohol 70% 1L;316
ITEM-0186;Alcohol 70% 1L;315
ITEM-0187;Bata descartable;314
ITEM-0188;Algodón 250g;313
ITEM-0189;Guante Nitrilo Talla M;312
ITEM-0190;Bata descartable;311
ITEM-0191;Algodón 250g;310
ITEM-0192;Esparadrapo 5cm;309
ITEM-0193;Bata descartable;308
ITEM-0194;Gasas 10x10;307
ITEM-0195;Esparadrapo 5cm;306
ITEM-0196;Algodón 250g;305
ITEM-0197;Guante Nitrilo Talla M;304
ITEM-0198;Algodón 250g;303
ITEM-0199;Bata descartable;302
ITEM-0200;Bata descartable;301
ITEM-0201;Jeringa 5ml;300
ITEM-0202;Guante Nitrilo Talla M;299
ITEM-0203;Catéter 18G;298
ITEM-0204;Esparadrapo 5cm;297
ITEM-0205;Alcohol 70% 1L;296
ITEM-0206;Guante Nitrilo Talla M;295
ITEM-0207;Alcohol 70% 1L;294
ITEM-0208;Guante Nitrilo Talla M;293
ITEM-0209;Guante Nitrilo Talla M;292
ITEM-0210;Algodón 250g;291
ITEM-0211;Guante Nitrilo Talla M;290
ITEM-0212;Jeringa 5ml;289
ITEM-0213;Catéter 18G;288
ITEM-0214;Bata descartable;287
ITEM-0215;Mascarilla quirúrgica;286
ITEM-0216;Alcohol 70% 1L;285
ITEM-0217;Bata descartable;284
ITEM-0218;Mascarilla quirúrgica;283
ITEM-0219;Catéter 18G;282
ITEM-0220;Catéter 18G;281
ITEM-0221;Alcohol 70% 1L;280
ITEM-0222;Alcohol 70% 1L;279
ITEM-0223;Catéter 18G;278
ITEM-0224;Mascarilla quirúrgica;277
ITEM-0225;Guante Nitrilo Talla M;276
ITEM-0226;Esparadrapo 5cm;275
ITEM-0227;Gasas 10x10;274
ITEM-0228;Bata descartable;273
ITEM-0229;Algodón 250g;272
